iter	Passed	Remaining
185	563	2465
186	566	2461
187	568	2453
188	570	2446
189	572	2441
190	574	2434
191	577	2428
192	579	2421
193	581	2414
194	583	2407
195	585	2400
196	587	2396
197	590	2393
198	595	2397
199	600	2402
200	605	2408
201	608	2402
202	610	2395
203	612	2389
204	614	2382
205	616	2375
206	618	2370
207	621	2365
208	623	2359
209	625	2353
210	627	2346
211	629	2340
212	631	2333
213	633	2327
214	636	2323
215	639	2322
216	646	2333
217	654	2347
218	656	2342
219	658	2335
220	660	2329
221	662	2323
222	664	2316
223	667	2311
224	669	2306
225	671	2300
226	673	2294
227	675	2288
228	678	2283
229	680	2277
230	682	2272
231	684	2267
232	688	2265
233	693	2269
234	698	2272
235	703	2278
236	705	2272
237	714	2287
238	717	2285
239	721	2284
240	724	2282
241	727	2278
242	730	2276
243	733	2273
244	738	2276
245	748	2295
246	751	2290
247	753	2284
248	756	2280
249	758	2274
250	760	2268
251	762	2262
252	764	2257
253	767	2252
254	769	2247
255	771	2241
256	773	2235
257	775	2229
258	777	2224
259	779	2219
260	782	2215
261	786	2215
262	791	2217
263	797	2224
264	800	2219
265	802	2214
266	804	2208
267	806	2202
268	808	2196
269	811	2192
270	813	2187
271	816	2184
272	818	2178
273	820	2173
274	822	2168
275	824	2162
276	826	2158
277	829	2153
278	832	2152
279	837	2154
280	842	2155
281	847	2157
282	849	2152
283	851	2147
284	853	2141
285	855	2136
286	858	2131
287	860	2127
288	862	2122
289	865	2118
290	867	2113
291	869	2108
292	871	2103
293	873	2098
294	875	2093
295	878	2088
296	882	2088
297	886	2089
298	894	2097
299	897	2093
300	899	2088
301	901	2083
302	903	2078
303	905	2073
304	908	2069
305	910	2064
306	912	2060
307	914	2055
308	916	2049
309	919	2045
310	921	2040
311	923	2036
312	925	2031
313	929	2029
314	933	2030
315	944	2044
316	947	2040
317	949	2035
318	951	2031
319	953	2026
320	955	2021
321	958	2017
322	960	2012
323	965	2015
324	969	2014
325	973	2012
326	975	2007
327	984	2016
328	990	2019
329	993	2017
330	995	2012
331	997	2007
332	1000	2003
333	1002	1998
334	1004	1993
335	1007	1990
336	1009	1985
337	1011	1981
338	1013	1976
339	1016	1973
340	1018	1968
341	1020	1963
342	1023	1960
343	1033	1970
344	1040	1975
345	1042	1970
346	1044	1965
347	1046	1961
348	1049	1957
349	1051	1952
350	1054	1949
351	1056	1945
352	1059	1941
353	1061	1936
354	1063	1933
355	1066	1928
356	1068	1923
357	1071	1921
358	1078	1925
359	1084	1928
360	1089	1929
361	1091	1924
362	1094	1920
363	1097	1916
364	1099	1912
365	1101	1908
366	1104	1905
367	1107	1901
368	1109	1896
369	1111	1893
370	1114	1888
371	1116	1884
372	1119	1881
373	1122	1878
374	1129	1882
375	1134	1881
376	1139	1882
377	1141	1878
378	1144	1875
379	1146	1871
380	1149	1866
381	1152	1863
382	1154	1859
383	1156	1854
384	1158	1850
385	1161	1846
386	1163	1842
387	1165	1837
388	1168	1834
389	1172	1833
390	1178	1835
391	1183	1835
392	1187	1834
393	1189	1829
394	1191	1825
395	1194	1821
396	1196	1817
397	1199	1814
398	1202	1810
399	1205	1807
400	1207	1803
401	1209	1799
402	1211	1795
403	1213	1790
404	1217	1788
405	1225	1793
406	1234	1798
407	1238	1797
408	1245	1800
409	1254	1804
410	1256	1800
411	1260	1799
412	1264	1796
413	1269	1796
414	1276	1799
415	1280	1798
416	1283	1794
417	1286	1790
418	1288	1786
419	1290	1782
420	1293	1778
421	1295	1774
422	1297	1770
423	1299	1765
424	1302	1762
425	1304	1757
426	1307	1753
427	1309	1749
428	1311	1745
429	1326	1757
430	1332	1759
431	1334	1755
432	1337	1750
433	1339	1746
434	1341	1742
435	1344	1738
436	1346	1734
437	1348	1730
438	1350	1725
439	1352	1721
440	1355	1717
441	1357	1713
442	1359	1709
443	1362	1705
444	1366	1704
445	1370	1702
446	1376	1703
447	1380	1701
448	1382	1697
449	1385	1693
450	1387	1688
451	1389	1684
452	1391	1679
453	1393	1675
454	1395	1671
455	1397	1667
456	1400	1663
457	1402	1659
458	1404	1655
459	1406	1650
460	1408	1646
461	1410	1643
462	1414	1640
463	1418	1638
464	1424	1638
465	1428	1636
466	1430	1632
467	1432	1628
468	1434	1624
469	1437	1620
470	1439	1616
471	1441	1612
472	1443	1608
473	1446	1604
474	1448	1600
475	1450	1596
476	1452	1593
477	1455	1589
478	1457	1585
479	1459	1581
480	1464	1580
481	1468	1578
482	1472	1576
483	1477	1575
484	1480	1571
485	1482	1567
486	1484	1563
487	1486	1559
488	1488	1555
489	1490	1551
490	1492	1547
491	1494	1543
492	1497	1539
493	1499	1535
494	1501	1531
495	1503	1527
496	1505	1523
497	1507	1519
498	1511	1517
499	1517	1517
500	1524	1518
501	1526	1514
502	1528	1510
503	1531	1506
504	1533	1502
505	1535	1498
506	1537	1494
507	1539	1491
508	1541	1487
509	1544	1483
510	1546	1479
511	1548	1475
512	1550	1471
513	1552	1467
514	1562	1471
515	1570	1472
516	1574	1471
517	1577	1467
518	1579	1463
519	1581	1459
520	1583	1456
521	1585	1452
522	1588	1448
523	1590	1444
524	1593	1441
525	1595	1437
526	1597	1433
527	1599	1430
528	1601	1426
529	1604	1422
530	1608	1420
531	1613	1419
532	1618	1418
533	1623	1416
534	1625	1413
535	1627	1409
536	1630	1405
537	1632	1401
538	1634	1398
539	1637	1394
540	1639	1390
541	1641	1386
542	1643	1383
543	1645	1379
544	1647	1375
545	1649	1371
546	1651	1368
547	1654	1364
548	1658	1362
549	1662	1359
550	1668	1359
551	1671	1356
552	1673	1352
553	1675	1348
554	1677	1345
555	1679	1341
556	1681	1337
557	1684	1334
558	1686	1330
559	1692	1329
560	1696	1327
561	1700	1325
562	1703	1322
563	1707	1319
564	1713	1319
565	1718	1317
566	1720	1314
567	1723	1310
568	1725	1306
569	1727	1303
570	1729	1299
571	1731	1295
572	1736	1294
573	1738	1290
574	1741	1286
575	1743	1283
576	1745	1279
577	1747	1275
578	1750	1272
579	1755	1271
580	1762	1271
581	1767	1269
582	1769	1265
583	1771	1262
584	1773	1258
585	1776	1254
586	1778	1251
587	1780	1247
588	1782	1244
589	1784	1240
590	1787	1236
591	1790	1233
592	1793	1230
593	1795	1227
594	1797	1223
595	1803	1222
596	1806	1219
597	1810	1217
598	1815	1215
599	1818	1212
600	1820	1208
601	1822	1204
602	1824	1201
603	1826	1197
604	1829	1194
605	1831	1190
606	1834	1187
607	1836	1183
608	1838	1180
609	1841	1177
610	1843	1173
611	1846	1170
612	1855	1171
613	1863	1171
614	1865	1167
615	1868	1164
616	1870	1161
617	1872	1157
618	1874	1153
619	1876	1150
620	1879	1147
621	1881	1143
622	1883	1140
623	1886	1136
624	1888	1133
625	1890	1129
626	1893	1126
627	1896	1123
628	1899	1120
629	1906	1119
630	1911	1118
631	1914	1114
632	1916	1111
633	1919	1107
634	1922	1104
635	1924	1101
636	1929	1099
637	1932	1096
638	1935	1093
639	1937	1089
640	1939	1086
641	1941	1082
642	1944	1079
643	1957	1081
644	1961	1079
645	1963	1076
646	1965	1072
647	1968	1069
648	1970	1065
649	1972	1062
650	1975	1059
651	1978	1055
652	1980	1052
653	1982	1049
654	1985	1045
655	1987	1042
656	1989	1038
657	1993	1036
658	1999	1034
659	2005	1033
660	2009	1030
661	2011	1027
662	2013	1023
663	2016	1020
664	2018	1016
665	2020	1013
666	2024	1010
667	2026	1007
668	2028	1003
669	2030	1000
670	2033	996
671	2035	993
672	2037	989
673	2040	986
674	2044	984
675	2049	982
676	2052	979
677	2057	977
678	2059	973
679	2061	970
680	2064	967
681	2066	963
682	2068	960
683	2071	956
684	2073	953
685	2075	950
686	2077	946
687	2079	943
688	2082	939
689	2084	936
690	2086	932
691	2088	929
692	2091	926
693	2095	923
694	2098	920
695	2101	917
696	2105	915
697	2107	911
698	2109	908
699	2111	905
700	2113	901
701	2116	898
702	2118	894
703	2120	891
704	2122	888
705	2124	884
706	2127	881
707	2129	878
708	2131	874
709	2133	871
710	2135	867
711	2138	865
712	2150	865
713	2154	863
714	2157	859
715	2159	856
716	2161	853
717	2163	849
718	2165	846
719	2167	842
720	2169	839
721	2172	836
722	2174	832
723	2176	829
724	2178	826
725	2180	822
726	2182	819
727	2184	816
728	2188	813
729	2192	810
730	2197	808
731	2200	805
732	2203	802
733	2205	799
734	2207	795
735	2209	792
736	2211	789
737	2213	785
738	2215	782
739	2221	780
740	2223	777
741	2225	773
742	2228	770
743	2230	767
744	2232	764
745	2235	761
746	2238	758
747	2242	755
748	2245	752
749	2248	749
750	2251	746
751	2253	743
752	2255	739
753	2257	736
754	2259	733
755	2262	730
756	2264	726
757	2266	723
758	2268	720
759	2270	717
760	2272	713
761	2275	710
762	2277	707
763	2279	704
764	2281	700
765	2285	698
766	2288	695
767	2292	692
768	2295	689
769	2298	686
770	2300	683
771	2303	680
772	2305	676
773	2307	673
774	2309	670
775	2311	667
776	2313	664
777	2315	660
778	2317	657
779	2319	654
780	2321	651
781	2324	647
782	2326	644
783	2328	641
784	2330	638
785	2334	635
786	2336	632
787	2340	629
788	2343	626
789	2347	623
790	2349	620
791	2351	617
792	2353	614
793	2356	611
794	2358	608
795	2360	605
796	2363	601
797	2365	598
798	2368	595
799	2370	592
800	2372	589
801	2374	586
802	2377	583
803	2379	579
804	2382	577
805	2385	574
806	2388	571
807	2391	568
808	2395	565
809	2397	562
810	2399	559
811	2402	556
812	2404	552
813	2406	549
814	2408	546
815	2410	543
816	2412	540
817	2415	537
818	2416	534
819	2419	531
820	2421	527
821	2423	524
822	2425	521
823	2428	518
824	2431	515
825	2434	512
826	2437	509
827	2442	507
828	2444	504
829	2446	501
830	2448	498
831	2450	494
832	2453	491
833	2455	488
834	2458	485
835	2463	483
836	2466	480
837	2469	477
838	2471	474
839	2473	471
840	2476	468
841	2481	465
842	2491	464
843	2494	460
844	2495	457
845	2498	454
846	2500	451
847	2502	448
848	2504	445
849	2506	442
850	2509	439
851	2511	436
852	2513	433
853	2519	430
854	2521	427
855	2523	424
856	2527	421
857	2530	418
858	2533	415
859	2536	412
860	2541	410
861	2543	407
862	2545	404
863	2547	401
864	2549	397
865	2551	394
866	2553	391
867	2556	388
868	2558	385
869	2560	382
870	2562	379
871	2564	376
872	2566	373
873	2569	370
874	2571	367
875	2574	364
876	2577	361
877	2580	358
878	2583	355
879	2586	352
880	2589	349
881	2591	346
882	2593	343
883	2595	340
884	2597	337
885	2599	334
886	2601	331
887	2604	328
888	2606	325
889	2608	322
890	2610	319
891	2612	316
892	2614	313
893	2616	310
894	2618	307
895	2621	304
896	2624	301
897	2626	298
898	2630	295
899	2636	292
900	2638	289
901	2641	286
902	2648	284
903	2654	281
904	2659	279
905	2664	276
906	2667	273
907	2680	271
908	2685	268
909	2687	265
910	2691	262
911	2697	260
912	2703	257
913	2705	254
914	2707	251
915	2711	248
916	2713	245
917	2715	242
918	2717	239
919	2723	236
920	2726	233
921	2731	231
922	2735	228
923	2737	225
924	2739	222
925	2741	219
926	2743	216
927	2746	213
928	2748	210
929	2750	207
930	2752	204
931	2754	200
932	2757	197
933	2759	194
934	2761	191
935	2763	188
936	2765	185
937	2769	183
938	2772	180
939	2775	177
940	2782	174
941	2784	171
942	2786	168
943	2788	165
944	2791	162
945	2793	159
946	2795	156
947	2797	153
948	2799	150
949	2801	147
950	2803	144
951	2805	141
952	2807	138
953	2809	135
954	2812	132
955	2814	129
956	2819	126
957	2822	123
958	2826	120
959	2829	117
960	2832	114
961	2834	111
962	2837	109
963	2839	106
964	2841	103
965	2843	100
966	2845	97
967	2847	94
968	2849	91
969	2851	88
970	2854	85
971	2856	82
972	2858	79
973	2860	76
974	2862	73
975	2865	70
976	2868	67
977	2870	64
978	2874	61
979	2878	58
980	2880	55
981	2882	52
982	2884	49
983	2886	46
984	2888	43
985	2891	41
986	2893	38
987	2895	35
988	2897	32
989	2899	29
990	2902	26
991	2904	23
992	2906	20
993	2908	17
994	2910	14
995	2914	11
996	2917	8
997	2920	5
998	2923	2
999	2926	0
