iter	RMSE
0	0.3889439116
1	0.3766384604
2	0.3657509196
3	0.3553002865
4	0.3450018857
5	0.3338901313
6	0.323772313
7	0.314540357
8	0.3065477348
9	0.2992571002
10	0.2921568996
11	0.2851925973
12	0.2792818985
13	0.2736360621
14	0.2678752531
15	0.262624248
16	0.2579581647
17	0.2533600074
18	0.2482122782
19	0.2437444341
20	0.2397014175
21	0.2353803455
22	0.2317095647
23	0.227831581
24	0.224572653
25	0.2222155619
26	0.219388745
27	0.2159247199
28	0.2142002964
29	0.2119432254
30	0.2092598033
31	0.2066874984
32	0.2040553752
33	0.2019396036
34	0.2000074391
35	0.1971085807
36	0.1952039528
37	0.1931302574
38	0.1912000969
39	0.1901143534
40	0.1882806411
41	0.1871321742
42	0.1860772267
43	0.1846269444
44	0.182824761
45	0.1814878248
46	0.1804032393
47	0.1789368326
48	0.1774247044
49	0.1765437167
50	0.175061178
51	0.174085143
52	0.1731130527
53	0.17178595
54	0.1707276311
55	0.1702075434
56	0.1694790241
57	0.1685088512
58	0.1676845283
59	0.1665713884
60	0.1658258023
61	0.1651016154
62	0.1640224981
63	0.1631987333
64	0.162505902
65	0.1620817392
66	0.1612558263
67	0.1605672481
68	0.159909195
69	0.1589367619
70	0.158421869
71	0.1576330635
72	0.1569736789
73	0.1566527619
74	0.1559073245
75	0.155078945
76	0.1543386597
77	0.1539836475
78	0.153561984
79	0.1530266095
80	0.1525133098
81	0.1520181378
82	0.1515856819
83	0.1510126435
84	0.150544804
85	0.1499428096
86	0.1496484214
87	0.1491669738
88	0.1489773818
89	0.1485708944
90	0.1480467123
91	0.1479701044
92	0.1473952751
93	0.146841225
94	0.1467335363
95	0.146572508
96	0.1463943933
97	0.1459615268
98	0.1457097176
99	0.1456187291
100	0.1454256628
101	0.1451483378
102	0.1444337881
103	0.1440253874
104	0.1439429787
105	0.143739445
106	0.1435078504
107	0.1427890992
108	0.1426930716
109	0.1425228306
110	0.1423004169
111	0.14160385
112	0.141237588
113	0.1408911451
114	0.1404652299
115	0.1400988847
116	0.1399226456
117	0.1397986674
118	0.1394966729
119	0.1387454503
120	0.1384674176
121	0.138369257
122	0.1382899493
123	0.1380581826
124	0.1379370203
125	0.137802513
126	0.1375000882
127	0.137392935
128	0.1370659204
129	0.1368588591
130	0.1367836853
131	0.1365436684
132	0.1362174499
133	0.1361286103
134	0.1358821974
135	0.135798118
136	0.1357151181
137	0.1356331817
138	0.1354099032
139	0.1349556981
140	0.1343532886
141	0.1342686685
142	0.1342449729
143	0.134161645
144	0.1339456345
145	0.133867848
146	0.1333177516
147	0.1331544311
148	0.1327592535
149	0.1325947206
150	0.1325229982
151	0.1324484133
152	0.1323793935
153	0.1321633663
154	0.1319259494
155	0.1318624
156	0.1316503748
157	0.1315778516
158	0.131375311
159	0.1312064776
160	0.1310315186
161	0.1305999355
162	0.1302457029
163	0.1300986733
164	0.1300272773
165	0.1297636365
166	0.129624012
167	0.1295614524
168	0.1292831603
169	0.1290249491
170	0.1287203694
171	0.128628072
172	0.1284964614
173	0.1284072471
174	0.1282815984
175	0.1279526555
176	0.127862373
177	0.1275910327
178	0.1275180666
179	0.1274667344
180	0.1274113109
181	0.1273463447
182	0.1272780473
183	0.1270963435
184	0.1267695285
185	0.1265926395
186	0.1265388454
187	0.1262514708
188	0.1260816414
189	0.1259663771
190	0.1259330636
191	0.1258703777
192	0.1258318274
193	0.1256075523
194	0.1255764046
195	0.1254054586
196	0.1253241673
197	0.1252977559
198	0.1252357451
199	0.1252230966
200	0.125114252
201	0.1249672526
202	0.1249146756
203	0.1248948639
204	0.1248428607
205	0.1247928167
206	0.1247418013
207	0.1247105199
208	0.1246600984
209	0.1246277828
210	0.1245867429
211	0.1245386434
212	0.1244632703
213	0.1244159295
214	0.124284295
215	0.1241373211
216	0.1240233357
217	0.1239754011
218	0.1239540001
219	0.1239062149
220	0.1238393963
221	0.1237940388
222	0.123773366
223	0.1237271466
224	0.1236746405
225	0.1236568763
226	0.1233800011
227	0.1231155093
228	0.1228648104
229	0.122835133
230	0.1227925756
231	0.1227710779
232	0.1227616129
233	0.1227261753
234	0.1227160478
235	0.1226585328
236	0.1226102781
237	0.1225752309
238	0.1225300834
239	0.1224678046
240	0.1224476866
241	0.1224059666
242	0.122360991
243	0.1223242668
244	0.1222896427
245	0.1222855642
246	0.1222678427
247	0.1222273606
248	0.1222066419
249	0.1220466357
250	0.122029123
251	0.1219956335
252	0.1219762135
253	0.1219672838
254	0.1219394421
255	0.121912185
256	0.1218931486
257	0.1218346209
258	0.1218185391
259	0.1216557024
260	0.1216390075
261	0.1216192987
262	0.121566818
263	0.1215098416
264	0.1214903059
265	0.1214726971
266	0.1214561921
267	0.1214387397
268	0.1214213947
269	0.1214112395
270	0.1213500185
271	0.1213239216
272	0.1212987471
273	0.1210730768
274	0.1210661762
275	0.1210415461
276	0.1210142153
277	0.1209830724
278	0.1209464083
279	0.1209093427
280	0.1208841914
281	0.1208528462
282	0.1208218232
283	0.1207182648
284	0.1207029821
285	0.1206875849
286	0.1203110223
287	0.1202574458
288	0.1201539079
289	0.1201211706
290	0.1201055704
291	0.1200836669
292	0.1200030187
293	0.1199745504
294	0.1199224738
295	0.1199161821
296	0.119894691
297	0.1197964841
298	0.1197902215
299	0.1197197667
300	0.1196304105
301	0.1193993091
302	0.1193373123
303	0.1193222954
304	0.1191272102
305	0.1190666477
306	0.1190448666
307	0.1190124717
308	0.1189687787
309	0.1189033934
310	0.1188806641
311	0.1188335223
312	0.1188128444
313	0.1187912123
314	0.1186975195
315	0.1186663433
316	0.1184672716
317	0.1184212573
318	0.1182479621
319	0.1182281333
320	0.1182063172
321	0.1181502776
322	0.1180950929
323	0.118015844
324	0.1179900728
325	0.1179655919
326	0.117945518
327	0.1179320931
328	0.1178441189
329	0.1178260232
330	0.1177963737
331	0.1177462939
332	0.1177074239
333	0.1176785361
334	0.1176574467
335	0.1176083701
336	0.1175878693
337	0.1173938641
338	0.1173810834
339	0.1173565383
340	0.1173379688
341	0.1172899806
342	0.1172701432
343	0.1172490761
344	0.1172392562
345	0.1170263303
346	0.1170062103
347	0.1169859573
348	0.116966953
349	0.1169471708
350	0.116932942
351	0.116925215
352	0.1168815949
353	0.1168658414
354	0.1168471916
355	0.1167648121
356	0.1167141548
357	0.1166367272
358	0.116582996
359	0.116536476
360	0.1165182762
361	0.116507136
362	0.116500832
363	0.1164811135
364	0.1164644115
365	0.1164457231
366	0.1164343712
367	0.1164164263
368	0.1163992732
369	0.1162118811
370	0.1161785968
371	0.116168749
372	0.1161386795
373	0.1159737707
374	0.1159362472
375	0.1159176635
376	0.1159010451
377	0.115882692
378	0.1158567294
379	0.1158381683
380	0.1158278849
381	0.1155515874
382	0.1155260953
383	0.1155204579
384	0.1155019144
385	0.1154839367
386	0.1154657798
387	0.1152579522
388	0.1152137525
389	0.1149747886
390	0.1148283295
391	0.1148127651
392	0.1148032031
393	0.11478622
394	0.1147767222
395	0.1147500401
396	0.1146802108
397	0.1145388982
398	0.1145323117
399	0.1145154229
400	0.114431454
401	0.1144152153
402	0.1143804588
403	0.1143633529
404	0.1143460518
405	0.1143359212
406	0.1142573522
407	0.1142460836
408	0.1142313416
409	0.1142219473
410	0.1142114947
411	0.1141952844
412	0.1140442103
413	0.1140311182
414	0.1140223983
415	0.1137680147
416	0.1137241227
417	0.1135668495
418	0.1135570695
419	0.1135403159
420	0.1135199283
421	0.1135035174
422	0.1134332224
423	0.1134173114
424	0.113402326
425	0.1133867134
426	0.1133724796
427	0.1133396793
428	0.1131870353
429	0.1131699917
430	0.1130607551
431	0.1130058804
432	0.1129896388
433	0.1129808013
434	0.1128704667
435	0.1128174869
436	0.1127947742
437	0.1127883706
438	0.1127791299
439	0.1127688264
440	0.1125862955
441	0.1125724738
442	0.1125633054
443	0.112435746
444	0.1124219401
445	0.1123990473
446	0.1123902144
447	0.1123529577
448	0.1123431552
449	0.1123336522
450	0.1122447426
451	0.1122147873
452	0.1122060573
453	0.1121977982
454	0.1121843277
455	0.1121759891
456	0.1121673573
457	0.112151837
458	0.1120155526
459	0.1120080279
460	0.1119996244
461	0.1119910996
462	0.1119826889
463	0.1117912606
464	0.1117419358
465	0.1117281415
466	0.111679173
467	0.1116707859
468	0.1115331943
469	0.1115247991
470	0.1115071086
471	0.1114978528
472	0.111493361
473	0.1114115448
474	0.1113829916
475	0.1112542259
476	0.1112466233
477	0.1111996056
478	0.1111910275
479	0.1111782897
480	0.1111699066
481	0.1110484297
482	0.1110438839
483	0.1110363515
484	0.1110269736
485	0.1109125694
486	0.1109046579
487	0.1108949414
488	0.1108828623
489	0.1108700118
490	0.1108579481
491	0.1108244254
492	0.1107290528
493	0.1107273471
494	0.110718161
495	0.1106633865
496	0.1106481672
497	0.1106395561
498	0.1106379567
499	0.1106291781
500	0.1106152008
501	0.1106106707
502	0.1105107762
503	0.1105008499
504	0.1104898114
505	0.1104698848
506	0.1104595879
507	0.1104526636
508	0.1103325211
509	0.1103210873
510	0.1103061577
511	0.1102973702
512	0.1102885822
513	0.1101838087
514	0.1101258041
515	0.1101230629
516	0.1100876865
517	0.1100356689
518	0.1100137443
519	0.1099972817
520	0.1099875543
521	0.1099764064
522	0.1099418988
523	0.1098392265
524	0.1098316299
525	0.1098229815
526	0.1097366803
527	0.10957978
528	0.1095526999
529	0.1095341376
530	0.1095230892
531	0.109514929
532	0.1094955718
533	0.1094873454
534	0.1094829445
535	0.1094706285
536	0.1093825709
537	0.1093744067
538	0.1093676049
539	0.1093485539
540	0.1093441582
541	0.1093264807
542	0.1093180769
543	0.1093101156
544	0.1092633984
545	0.1092091934
546	0.1091975502
547	0.1091897845
548	0.1091777174
549	0.1091579708
550	0.1091536149
551	0.1091431807
552	0.1090942841
553	0.1090820634
554	0.1090636502
555	0.1090487509
556	0.1090197411
557	0.1089627361
558	0.1089306399
559	0.1089185584
560	0.1089103221
561	0.1089018722
562	0.1087843554
563	0.1087722567
564	0.1087402321
565	0.1087361577
566	0.1087283161
567	0.1087115748
568	0.1086937289
569	0.1086750622
570	0.1086674413
571	0.1086558604
572	0.1086476052
573	0.1085537028
574	0.1085352199
575	0.1085310454
576	0.1085057949
577	0.1084795799
578	0.1083443151
579	0.1083174972
580	0.1083000159
581	0.108263114
582	0.1082498335
